id,cluster,Lat,Lon
980,Reform cases,23.89902161,80.77852249
981,Reform cases,17.57440271,73.1865406
982,Reform cases,17.48396397,73.19239855
983,Reform cases,16.52653738,73.32901955
984,Reform cases,22.8210058,69.55302715
985,Reform cases,14.13840674,79.99162674
986,Reform cases,20.81647242,85.32203168
987,Reform cases,19.89931087,83.02622169
988,Reform cases,20.78715126,83.36764812
989,Reform cases,12.1834,76.4348
990,Reform cases,14.896018,74.19342041
991,Reform cases,20.95972889,84.47044104
992,Reform cases,24.87452322,75.61645031
993,Reform cases,14.86482795,74.43981886
995,Reform cases,21.90960425,83.18778992
996,Resists cases,23.06583394,81.78741932
997,Reform cases,14.32670041,80.12114525
998,Reform cases,29.87317352,75.63026905
999,Reform cases,30.23830672,74.91478443
1000,Reform cases,30.55486998,76.57316208
1001,Reform cases,17.60778407,83.19993496
1002,Transform cases,30.20463576,74.64626312
1004,Reform cases,29.44468029,75.67176819
1005,Resists cases,16.62630251,73.36981058
1006,Reform cases,22.19777613,79.77632046
1008,Reform cases,23.99628979,82.62233734
1009,Reform cases,24.01228495,82.37377167
1012,Resists cases,-26.28376086,27.85752224
1014,Resists cases,41.20268126,29.11153793
1018,Resists cases,41.80407814,35.20002365
1020,Reform cases,40.0182,26.731
1022,Resists cases,36.81272138,32.60807285
1023,Resists cases,41.26593675,41.55836105
1029,Transform cases,38.49874309,27.70580292
1030,Reform cases,36.41437557,30.47779083
1032,Transform cases,41.20758898,41.29760742
1034,Reform cases,38.57554796,26.45507813
1036,Reform cases,40.37793612,28.49578857
1039,Reform cases,41.75799552,27.68554688
1041,Reform cases,38.357811,35.29769897
1042,Resists cases,41.03754,28.9859
1047,Reform cases,40.51171103,41.45690918
1048,Reform cases,38.73480363,33.35998535
1050,Resists cases,38.48665094,29.14775848
1051,Reform cases,38.68550976,43.04443359
1052,Transform cases,40.67087379,29.38645363
1053,Resists cases,41.88387623,33.01048279
1054,Resists cases,36.91339179,28.76564026
1055,Transform cases,41.87876396,27.97805786
1056,Transform cases,40.60613336,31.27841949
1057,Reform cases,-18.55088036,48.79735417
1059,Reform cases,-22.23594946,47.88324981
1060,Reform cases,-20.96143961,48.40576172
1061,Transform cases,-18.352222,45.004722
1062,Resists cases,18.73324109,7.381954193
1063,Reform cases,44.023638,20.360724
1065,Reform cases,-9.92861,33.933163
1066,Resists cases,-27.59593477,-55.84350586
1068,Resists cases,-32.33355895,-57.86499023
1069,Resists cases,-1.526918838,-79.42016602
1070,Reform cases,0.663735,-79.949698
1074,Reform cases,6.629730321,5.387726328
1076,Resists cases,-20.59892419,-51.69682291
1079,Reform cases,-13.29390184,35.23901698
1083,Reform cases,-1.97,103.68
1087,Reform cases,-16.37,-39.58
1089,Reform cases,0.1946,6.5465
1092,Resists cases,15.614645,-86.183269
1098,Reform cases,-13.45,35.44
1103,Reform cases,12.710675,-16.758689
1105,Reform cases,7.553101138,-12.5340271
1106,Transform cases,13.41633735,-6.212768555
1107,Resists cases,5.019810837,8.868713379
1109,Reform cases,7.321605926,1.911621094
1110,Reform cases,18.28151824,7.020263672
1111,Reform cases,5.350495,-3.93368
1114,Reform cases,22.91318,72.429573
1116,Reform cases,40.8220333,-0.1990915
1117,Transform cases,47.3888,-1.7161
1121,Reform cases,-41.476516,-72.312848
1122,Transform cases,19.11111111,-70.44722222
1129,Resists cases,-33.592634,-70.365148
1130,Reform cases,43.159564,18.01966
1131,Reform cases,44.203722,17.905667
1132,Transform cases,43.221846,19.750707
1133,Transform cases,43.723379,20.687127
1134,Reform cases,25.145246,81.941007
1135,Reform cases,6.066111111,-75.79944444
1136,Transform cases,10.520304,-85.649666
1137,Reform cases,-27.51436141,-70.2898407
1139,Resists cases,-27.37451123,-66.28120422
1140,Resists cases,16.68611111,-96.68333333
1141,Reform cases,10.78029703,-72.79764175
1142,Reform cases,9.581284811,-73.28198433
1143,Reform cases,5.347368471,-76.42948151
1144,Reform cases,5.559692177,-74.88877773
1145,Reform cases,5.194210279,-73.31382751
1146,Reform cases,29.01509521,-110.2706659
1147,Reform cases,30.95611111,-110.3283333
1148,Resists cases,15.74194444,-92.28833333
1149,Resists cases,18.24166667,-99.66277778
1150,Resists cases,28.99024373,-108.5379181
1151,Reform cases,27.95416667,-101.4283333
1152,Reform cases,17.29722222,-96.4325
1153,Reform cases,19.613483,-100.2962
1154,Reform cases,16.90787697,-96.57463074
1155,Reform cases,-0.44253863,-77.00958252
1157,Resists cases,22.92546525,108.2983637
1159,Reform cases,-1.590270335,103.6140777
1164,Reform cases,-12.25278573,40.39810181
1165,Resists cases,-4.05922,137.1156
1166,Reform cases,41.10587247,0.923881531
1167,Reform cases,-16.48876493,-68.14819336
1168,Reform cases,-17.40568383,-66.15966797
1171,Reform cases,-22.35253543,46.12335205
1172,Transform cases,-17.69112614,44.90730286
1173,Resists cases,-22.3534,43.544
1177,Reform cases,22.423724,87.862338
1179,Reform cases,24.756964,87.363083
1186,Reform cases,22.504662,87.37607
1188,Reform cases,1.3746017,109.4801556
1189,Resists cases,-2.4664757,111.033333
1190,Transform cases,0.2285731,110.439467
1191,Resists cases,1.4703251,109.769408
1193,Resists cases,3.40512,99.03468
1194,Resists cases,1.1878071,100.0654792
1195,Resists cases,1.1912091,100.3281855
1196,Resists cases,1.3065875,100.2796465
1197,Resists cases,0.1879614,99.6077419
1198,Transform cases,-0.0586991,99.8969394
1199,Transform cases,-0.6741148,98.9794326
1200,Reform cases,-1.425056,103.580681
1203,Transform cases,3.8830327,96.7
1204,Reform cases,5.066373,117.0300215
